epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,2566.59,1.00904,0.71956,1.12286,0.9106,0.88312,0.93519,0.6327,1.18423,0.68,1.29865,2.18858e-05,2.18858e-05,2.18858e-05
139,2583.06,1.00957,0.72809,1.11764,0.90428,0.89456,0.93308,0.63184,1.18748,0.68007,1.30304,2.15492e-05,2.15492e-05,2.15492e-05
140,2599.29,1.02029,0.7448,1.12578,0.91138,0.8912,0.93257,0.63193,1.19312,0.68056,1.30514,2.12126e-05,2.12126e-05,2.12126e-05
141,2614.44,0.99073,0.7017,1.10682,0.9001,0.894,0.93257,0.6332,1.199,0.68814,1.30532,2.0876e-05,2.0876e-05,2.0876e-05
142,2631.84,0.9991,0.71171,1.12202,0.89744,0.88944,0.93417,0.63089,1.20075,0.68633,1.30396,2.05394e-05,2.05394e-05,2.05394e-05
143,2647.56,0.99634,0.71765,1.11541,0.89512,0.89839,0.93367,0.62737,1.20181,0.69247,1.30743,2.02028e-05,2.02028e-05,2.02028e-05
144,2666.47,0.99976,0.71491,1.11892,0.9011,0.89942,0.93524,0.62742,1.19992,0.68135,1.31084,1.98662e-05,1.98662e-05,1.98662e-05
145,2681.49,1.0303,0.73566,1.12848,0.89673,0.89502,0.93309,0.63193,1.19423,0.69753,1.30079,1.95296e-05,1.95296e-05,1.95296e-05
146,2697.41,0.9904,0.70451,1.09426,0.89023,0.90085,0.93326,0.62876,1.20288,0.69222,1.30854,1.9193e-05,1.9193e-05,1.9193e-05
147,2713.93,1.00186,0.72263,1.12205,0.88031,0.9038,0.93259,0.63113,1.19524,0.68408,1.30339,1.88564e-05,1.88564e-05,1.88564e-05
148,2731.27,1.00229,0.7149,1.10928,0.91212,0.88232,0.93593,0.63273,1.18941,0.68584,1.30687,1.85198e-05,1.85198e-05,1.85198e-05
149,2748.17,0.9858,0.70519,1.11291,0.89736,0.89732,0.93424,0.63042,1.19588,0.68791,1.30248,1.81832e-05,1.81832e-05,1.81832e-05
